2026-05-18 20:16:45,305 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:45,324 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:45,377 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:45,398 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:45,428 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:45,460 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:45,508 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:45,522 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:45,564 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:45,583 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:45,583 | CAMERA_MANAGER | INFO | c2 sent 20 frames
2026-05-18 20:16:45,649 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:45,649 | CAMERA_MANAGER | INFO | c1 sent 20 frames
2026-05-18 20:16:45,667 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:45,667 | CAMERA_MANAGER | INFO | c3 sent 20 frames
2026-05-18 20:16:45,713 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:45,713 | CAMERA_MANAGER | INFO | c4 sent 20 frames
2026-05-18 20:16:45,729 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:45,791 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:45,808 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:45,854 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:45,854 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:45,927 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:45,947 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:46,000 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:46,000 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:46,074 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:46,076 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:46,121 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:46,121 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:46,217 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:46,217 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:46,255 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:46,257 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:46,333 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:46,349 | CAMERA_MANAGER | INFO | Sending frame from c3
