2026-06-01 19:29:47,625 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,671 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,671 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,689 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,697 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,703 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,725 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,725 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,735 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,737 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,743 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,743 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,756 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,761 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,765 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,770 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,772 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,772 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,781 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,801 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,813 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,820 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,824 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,828 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,880 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,902 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,946 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:48,001 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:48,005 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:48,007 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:48,013 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:48,078 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:48,083 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:48,086 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:48,089 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:48,138 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:48,143 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:48,191 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:48,263 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:48,303 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:48,318 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:48,320 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:48,331 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:48,377 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:48,390 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:48,449 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,455 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,562 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,567 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,579 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,579 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,594 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,613 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,634 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,680 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,698 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,698 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,714 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,719 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,724 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,731 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,731 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,804 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,821 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,821 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,876 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,922 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,936 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,936 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:48,959 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,017 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,070 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,083 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,128 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,194 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:49,247 | ROI | INFO | Saved To Redis : fire_smoke_frames
